id,nazwa,dlugosc,szerokosc
103,Lekarska / Szpital,21.14567,51.40049
105,Limanowskiego / Młodzianowska,21.13862,51.39820
106,Limanowskiego / Lustrzana,21.13465,51.39577
107,Żeromskiego / Traugutta,21.14787,51.40205
108,Żeromskiego / Traugutta,21.14734,51.40212
109,Reja / Wolność,21.14494,51.40368
110,Okulickiego / Rondo,21.13651,51.40459
111,Chłodna / Równa,21.13553,51.40805
113,Okulickiego / Polna,21.13139,51.40559
114,Okulickiego / Przeskok,21.12602,51.40660
116,Os. Zamłynie,21.11863,51.40088
117,Maratońska / Podhalańska (NŻ),21.11832,51.39597
118,Maratońska / Podhalańska (NŻ),21.11700,51.39580
119,Limanowskiego / Lustrzana,21.13455,51.39535
120,Limanowskiego / Młodzianowska,21.13890,51.39817
121,Narutowicza / Podwalna,21.14331,51.39846
122,Narutowicza / Kościuszki,21.14973,51.39709
123,Limanowskiego / Wałowa,21.13997,51.40193
125,Reja / Wolność,21.14493,51.40357
126,Traugutta / Piłsudskiego,21.15090,51.39798
127,Słowackiego / Nowogrodzka,21.16294,51.39683
128,Zbrowskiego / Olsztyńska,21.17280,51.40672
129,Malczewskiego / Kelles-Krauza,21.15061,51.40517
130,Malczewskiego / Wernera,21.15200,51.40683
131,Malczewskiego / Wernera,21.15243,51.40820
132,Struga / pl. Jagielloński,21.15483,51.40505
133,Struga / 25 Czerwca,21.16483,51.40705
134,Struga / 25 Czerwca,21.16710,51.40736
135,Kelles-Krauza / 25 Czerwca,21.16266,51.40294
136,25 Czerwca / Struga,21.16573,51.40662
137,Struga / Zbrowskiego,21.17163,51.40840
138,Kielecka / Wolanowska,21.11732,51.40340
140,Główna / Krucza,21.12325,51.40345
141,Okulickiego / Przeskok,21.12660,51.40639
142,Okulickiego / Polna,21.13263,51.40522
143,Okulickiego / Rondo,21.13763,51.40425
145,Osiowa / Krańcowa,21.11806,51.41392
146,Czarnieckiego / Zielona,21.12710,51.41041
147,Zielona / Sarnia (NŻ),21.12520,51.41586
148,Wernera / Chłodna,21.13721,51.41011
150,Wernera / Mireckiego,21.14508,51.40833
151,Obozisko,21.14654,51.40979
153,11 Listopada / Starowolska,21.15929,51.41414
154,Żwirki i Wigury / Kusocińskiego,21.16540,51.40928
155,Chrobrego / Sowińskiego,21.15995,51.41233
156,Chrobrego / Mierzejewskiego,21.16244,51.41763
158,Paderewskiego / Sempołowskiej,21.17005,51.41767
159,Chrobrego / Rapackiego,21.16278,51.42127
160,Warszawska / Rybna (NŻ),21.15246,51.41903
161,Warszawska / Klejowa (NŻ),21.15118,51.42317
162,Żółkiewskiego / Sobieskiego,21.15814,51.42620
163,Mieszka I / Królowej Jadwigi,21.16373,51.42790
164,Warszawska / Rondo,21.14920,51.42957
165,Os. Michałów,21.16062,51.42961
166,Warszawska / Janiszewska (NŻ),21.14793,51.43370
167,Mieszka I / Piastowska,21.16520,51.43120
168,Maratońska / Dębowa,21.12421,51.39280
169,Maratońska / Limanowskiego,21.12751,51.39090
171,Limanowskiego / Cmentarz,21.13207,51.39298
172,Limanowskiego / Sucha,21.12380,51.38531
173,Sucha / Limanowskiego,21.12273,51.38577
